Parent,Destination,Origin,Timepoint,Species,AFDW,SA,BM,BWg.d,BWx,BWx.d,BWg.dSA,BWg.dAFDW,BWx.dSA,BWx.dAFDW,LE,NP,R,GP,GPSA,GPAFDW,NPSA,NPAFDW,RSA,RAFDW,P_RSA,P_RAFDW,F0,FM,Yield,PercentLipids,TotalLipids,PropLipids,Final.prey.SA,Extension,Angle,Simpson,PropSpawn,FitScore,Survival,FitScoreNoRepro
52,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.6363636,1033.090909,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507.2,1343.1,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.6,1262.3,616.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.7,1184.7,605.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Inner Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.7,1025.9,657.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Outer Lagoon,Outer Lagoon,1.5,MCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.2222222,1184.444444,639.2222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.9,1420.3,641.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.5714286,1124.285714,592.5714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.7,1355.7,647.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.625,1241,553.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Inner Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551.3,1479,621.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Outer Lagoon,Outer Lagoon,1.5,PCOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.5555556,1145.444444,601.2222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
